seq_id	aln_start	aln_end	env_start	env_end	hmm_acc	hmm_name	type	hmm_start	hmm_end	hmm_length	score	evalue	significance	clan
IMGVR_UViG_3300014204_000586.3300014204.Ga0172381_10001414_16	78	244	74	246	PF13229.10	Beta_helix	Repeat	4	149	158	43.7	2.40E-11	1	CL0268
IMGVR_UViG_3300014206_002676.3300014206.Ga0172377_10009520_1	23	132	8	133	PF16461.9	Phage_TTP_12	Family	21	131	134	34.6	1.60E-08	1	CL0504
IMGVR_UViG_3300014206_002676.3300014206.Ga0172377_10009520_2	24	145	24	146	PF12691.11	Minor_capsid_3	Family	1	115	117	41.2	1.80E-10	1	CL0691
IMGVR_UViG_3300015214_001681.3300015214.Ga0172382_10015897_2	14	90	13	90	PF04883.16	HK97-gp10_like	Family	2	78	78	26.8	9.20E-06	1	CL0348
IMGVR_UViG_3300015214_001681.3300015214.Ga0172382_10015897_7	94	291	93	292	PF10145.13	PhageMin_Tail	Family	2	200	201	163.3	7.10E-48	1	No_Clan
IMGVR_UViG_3300015214_001681.3300015214.Ga0172382_10015897_11	40	115	40	116	PF10102.13	DUF2341	Family	1	83	84	62.6	4.40E-17	1	No_Clan
IMGVR_UViG_3300018412_000002.3300018412.Ga0194136_1000079_1	264	345	263	346	PF13620.10	CarboxypepD_reg	Domain	2	81	82	34.3	2.60E-08	1	CL0287
IMGVR_UViG_3300021255_003095.3300021255.Ga0223825_10105951_34	111	264	111	265	PF13482.10	RNase_H_2	Domain	1	162	163	47.2	2.50E-12	1	CL0219
IMGVR_UViG_3300021255_003095.3300021255.Ga0223825_10105951_55	12	300	9	342	PF18906.4	Phage_tube_2	Family	5	241	269	33.2	4.20E-08	1	No_Clan
IMGVR_UViG_3300021255_003095.3300021255.Ga0223825_10105951_56	82	211	77	215	PF03412.19	Peptidase_C39	Family	6	116	133	40.1	3.20E-10	1	CL0125
IMGVR_UViG_3300021387_000413.3300021387.Ga0223845_10448126_24	237	289	234	289	PF13250.10	DUF4041	Family	4	56	56	45.8	4.60E-12	1	No_Clan
IMGVR_UViG_3300021387_000413.3300021387.Ga0223845_10448126_24	412	488	412	489	PF13455.10	MUG113	Family	1	72	73	74.9	6.30E-21	1	CL0418
IMGVR_UViG_3300021387_000413.3300021387.Ga0223845_10448126_26	14	69	13	70	PF01471.22	PG_binding_1	Domain	2	56	57	58.6	5.90E-16	1	CL0244
IMGVR_UViG_3300021387_000413.3300021387.Ga0223845_10448126_26	87	142	86	142	PF01471.22	PG_binding_1	Domain	2	57	57	60.8	1.20E-16	1	CL0244
IMGVR_UViG_3300021387_000413.3300021387.Ga0223845_10448126_26	162	279	144	290	PF12386.12	Peptidase_C71	Family	15	136	149	44.4	1.50E-11	1	CL0125
IMGVR_UViG_3300021387_000413.3300021387.Ga0223845_10448126_37	35	92	34	92	PF01471.22	PG_binding_1	Domain	2	57	57	44.1	2.00E-11	1	CL0244
IMGVR_UViG_3300021387_000413.3300021387.Ga0223845_10448126_38	15	79	15	80	PF01471.22	PG_binding_1	Domain	1	56	57	44.8	1.20E-11	1	CL0244
IMGVR_UViG_3300021387_000413.3300021387.Ga0223845_10448126_48	100	294	42	300	PF17236.6	DUF5309	Family	70	271	283	30.1	3.20E-07	1	CL0373
IMGVR_UViG_3300021400_004522.3300021400.Ga0224422_12338464_1	1	85	1	87	PF13620.10	CarboxypepD_reg	Domain	1	80	82	36.3	6.50E-09	1	CL0287
IMGVR_UViG_3300021400_004522.3300021400.Ga0224422_12338464_14	7	106	7	109	PF10934.12	DUF2634	Family	1	100	104	43.2	3.80E-11	1	CL0763
IMGVR_UViG_3300021400_004522.3300021400.Ga0224422_12338464_15	80	244	80	248	PF04865.18	Baseplate_J	Family	1	149	255	53.3	2.60E-14	1	No_Clan
IMGVR_UViG_3300021400_000962.3300021400.Ga0224422_11460810_7	52	215	41	230	PF10758.13	DUF2586	Family	35	190	386	28.7	8.50E-07	1	No_Clan
IMGVR_UViG_3300021400_000962.3300021400.Ga0224422_11460810_13	19	82	7	86	PF13620.10	CarboxypepD_reg	Domain	7	79	82	36.8	4.50E-09	1	CL0287
IMGVR_UViG_3300021400_000962.3300021400.Ga0224422_11460810_15	78	162	44	174	PF04586.21	Peptidase_S78	Family	56	149	164	24.8	2.30E-05	1	CL0201
IMGVR_UViG_3300021400_000962.3300021400.Ga0224422_11460810_17	65	381	63	384	PF04860.16	Phage_portal	Family	4	318	321	101.2	6.90E-29	1	No_Clan
IMGVR_UViG_3300021400_000962.3300021400.Ga0224422_11460810_37	3	175	2	201	PF00145.21	DNA_methylase	Domain	2	162	324	203.1	8.40E-60	1	CL0063
IMGVR_UViG_3300021400_000962.3300021400.Ga0224422_11460810_37	225	311	182	313	PF00145.21	DNA_methylase	Domain	259	321	324	38.7	8.50E-10	1	CL0063
IMGVR_UViG_3300021540_000004.3300021540.Ga0214517_100030_68	6	65	1	65	PF14192.10	DUF4314	Family	9	69	69	88.9	1.70E-25	1	CL0010
IMGVR_UViG_3300021540_000004.3300021540.Ga0214517_100030_160	1183	1271	1181	1272	PF16640.9	Big_3_5	Domain	3	89	90	39.1	7.30E-10	1	CL0159
IMGVR_UViG_3300021540_000004.3300021540.Ga0214517_100030_161	78	290	77	316	PF04865.18	Baseplate_J	Family	3	215	255	65.7	4.40E-18	1	No_Clan
IMGVR_UViG_3300021540_000004.3300021540.Ga0214517_100030_182	69	395	68	397	PF04860.16	Phage_portal	Family	3	318	321	92.3	3.60E-26	1	No_Clan
IMGVR_UViG_3300021540_000004.3300021540.Ga0214517_100030_186	5	62	4	67	PF02195.22	ParBc	Family	2	62	90	41.3	1.50E-10	1	CL0248
IMGVR_UViG_3300021540_000004.3300021540.Ga0214517_100030_187	51	211	50	212	PF02592.19	Vut_1	Family	2	151	152	139.2	1.60E-40	1	CL0315
IMGVR_UViG_3300021540_000004.3300021540.Ga0214517_100030_188	4	134	4	136	PF01850.25	PIN	Domain	1	118	121	45.2	1.40E-11	1	CL0280
IMGVR_UViG_3300022137_000001.3300022137.Ga0214925_100249_4	80	315	33	326	PF05065.17	Phage_capsid	Family	46	262	280	37.7	1.70E-09	1	CL0373
IMGVR_UViG_3300022137_000001.3300022137.Ga0214925_100249_8	5	241	3	253	PF18906.4	Phage_tube_2	Family	5	227	269	43.4	3.40E-11	1	No_Clan
IMGVR_UViG_3300022137_000001.3300022137.Ga0214925_100249_11	368	453	367	454	PF16640.9	Big_3_5	Domain	2	89	90	55.9	4.40E-15	1	CL0159
IMGVR_UViG_3300022137_000001.3300022137.Ga0214925_100249_42	127	446	75	448	PF04860.16	Phage_portal	Family	59	319	321	79.1	3.70E-22	1	No_Clan
IMGVR_UViG_3300022212_000093.3300022212.Ga0236246_1000153_3	222	296	217	296	PF18911.4	PKD_4	Domain	10	85	85	70.5	1.00E-19	1	CL0159
IMGVR_UViG_3300022212_000093.3300022212.Ga0236246_1000153_31	7	216	3	235	PF04454.16	Linocin_M18	Family	14	204	253	50.1	2.50E-13	1	CL0373
IMGVR_UViG_3300022212_000093.3300022212.Ga0236246_1000153_35	13	97	13	97	PF04883.16	HK97-gp10_like	Family	1	78	78	25.3	2.60E-05	1	CL0348
IMGVR_UViG_3300022212_000093.3300022212.Ga0236246_1000153_40	94	291	93	292	PF10145.13	PhageMin_Tail	Family	2	200	201	176.9	4.80E-52	1	No_Clan
IMGVR_UViG_3300022212_000093.3300022212.Ga0236246_1000153_44	41	115	41	117	PF10102.13	DUF2341	Family	1	82	84	49.4	5.50E-13	1	No_Clan
IMGVR_UViG_3300022212_000093.3300022212.Ga0236246_1000153_44	489	563	489	565	PF10102.13	DUF2341	Family	1	82	84	52.1	7.90E-14	1	No_Clan
IMGVR_UViG_3300022212_000093.3300022212.Ga0236246_1000153_47	235	391	233	414	PF08480.14	Disaggr_assoc	Repeat	3	157	194	65.5	6.50E-18	1	CL0268
IMGVR_UViG_3300022235_000096.3300022235.Ga0236245_1000190_16	222	296	217	296	PF18911.4	PKD_4	Domain	10	85	85	70.5	1.00E-19	1	CL0159
IMGVR_UViG_3300022235_000096.3300022235.Ga0236245_1000190_38	235	391	233	414	PF08480.14	Disaggr_assoc	Repeat	3	157	194	65.5	6.50E-18	1	CL0268
IMGVR_UViG_3300022235_000096.3300022235.Ga0236245_1000190_41	41	115	41	117	PF10102.13	DUF2341	Family	1	82	84	49.4	5.50E-13	1	No_Clan
IMGVR_UViG_3300022235_000096.3300022235.Ga0236245_1000190_41	489	563	489	565	PF10102.13	DUF2341	Family	1	82	84	52.1	7.90E-14	1	No_Clan
IMGVR_UViG_3300025609_000011.3300025609.Ga0209608_1001458_9	9	223	5	240	PF04454.16	Linocin_M18	Family	16	208	253	58.7	5.60E-16	1	CL0373
IMGVR_UViG_3300025609_000011.3300025609.Ga0209608_1001458_12	15	76	6	77	PF04883.16	HK97-gp10_like	Family	11	75	78	23.2	0.00012	1	CL0348
IMGVR_UViG_3300025609_000011.3300025609.Ga0209608_1001458_13	13	131	13	131	PF12691.11	Minor_capsid_3	Family	1	116	117	72	5.10E-20	1	CL0691
IMGVR_UViG_3300025609_000011.3300025609.Ga0209608_1001458_14	33	134	21	135	PF16461.9	Phage_TTP_12	Family	30	133	134	46.1	4.30E-12	1	CL0504
IMGVR_UViG_3300025609_000011.3300025609.Ga0209608_1001458_14	145	237	135	237	PF12733.11	Cadherin-like	Domain	5	89	89	45.3	1.00E-11	1	CL0159
IMGVR_UViG_3300025609_000011.3300025609.Ga0209608_1001458_17	122	302	120	309	PF10145.13	PhageMin_Tail	Family	3	183	201	122.2	2.70E-35	1	No_Clan
IMGVR_UViG_3300025609_000011.3300025609.Ga0209608_1001458_18	257	400	255	407	PF08480.14	Disaggr_assoc	Repeat	3	152	194	64.9	1.00E-17	1	CL0268
IMGVR_UViG_3300025609_000041.3300025609.Ga0209608_1002963_5	228	296	218	296	PF18911.4	PKD_4	Domain	16	85	85	67.6	8.60E-19	1	CL0159
IMGVR_UViG_3300025609_000041.3300025609.Ga0209608_1002963_5	305	383	303	383	PF18911.4	PKD_4	Domain	4	85	85	74.3	7.10E-21	1	CL0159
IMGVR_UViG_3300025609_000041.3300025609.Ga0209608_1002963_5	639	719	638	719	PF18911.4	PKD_4	Domain	2	85	85	76.2	1.80E-21	1	CL0159
IMGVR_UViG_3300025609_000041.3300025609.Ga0209608_1002963_5	724	804	723	804	PF18911.4	PKD_4	Domain	2	85	85	72.6	2.30E-20	1	CL0159
IMGVR_UViG_3300025678_000508.3300025678.Ga0208695_1000493_24	32	236	30	240	PF03237.19	Terminase_6N	Domain	3	209	215	35	1.20E-08	1	CL0023
IMGVR_UViG_3300025678_000508.3300025678.Ga0208695_1000493_24	375	437	346	438	PF17288.6	Terminase_3C	Domain	88	153	155	29.5	9.80E-07	1	CL0219
IMGVR_UViG_3300025713_000144.3300025713.Ga0208195_1006385_7	149	258	144	259	PF14550.10	Peptidase_S78_2	Family	8	119	120	117.6	3.70E-34	1	CL0201
IMGVR_UViG_3300025713_000156.3300025713.Ga0208195_1007151_6	16	125	2	160	PF20557.2	DnaT_2	Domain	26	129	168	33.6	3.80E-08	1	No_Clan
IMGVR_UViG_3300026290_000020.3300026290.Ga0209510_1000669_25	2	48	1	84	PF01527.24	HTH_Tnp_1	Family	2	52	75	26.6	5.90E-06	1	CL0123
IMGVR_UViG_3300026290_000020.3300026290.Ga0209510_1000669_38	5	250	4	263	PF18906.4	Phage_tube_2	Family	2	233	269	45.8	6.30E-12	1	No_Clan
IMGVR_UViG_3300026290_000020.3300026290.Ga0209510_1000669_47	103	233	95	233	PF13529.10	Peptidase_C39_2	Domain	8	143	143	30.7	4.60E-07	1	CL0125
IMGVR_UViG_3300026311_000005.3300026311.Ga0209723_1001339_5	145	339	133	342	PF10145.13	PhageMin_Tail	Family	9	198	201	59.6	4.20E-16	1	No_Clan
IMGVR_UViG_3300026311_000005.3300026311.Ga0209723_1001339_25	14	314	12	316	PF05065.17	Phage_capsid	Family	4	275	280	83	2.60E-23	1	CL0373
IMGVR_UViG_3300026311_000005.3300026311.Ga0209723_1001339_27	20	448	17	453	PF05133.18	Phage_prot_Gp6	Family	8	411	416	43.8	1.90E-11	1	No_Clan
IMGVR_UViG_3300026549_000111.3300026549.Ga0256404_1001855_15	208	312	200	313	PF04233.18	Phage_Mu_F	Family	13	111	112	48.8	1.10E-12	1	No_Clan
IMGVR_UViG_3300026549_000111.3300026549.Ga0256404_1001855_22	257	342	255	344	PF16640.9	Big_3_5	Domain	3	88	90	36.9	3.60E-09	1	CL0159
IMGVR_UViG_3300027365_000588.3300027365.Ga0209300_1002029_2	28	63	16	66	PF04703.16	FaeA	Domain	16	51	62	24.2	3.60E-05	1	CL0123
IMGVR_UViG_3300027566_000007.3300027566.Ga0209639_1000314_6	110	296	109	303	PF10145.13	PhageMin_Tail	Family	2	188	201	123.9	8.40E-36	1	No_Clan
IMGVR_UViG_3300027566_000007.3300027566.Ga0209639_1000314_10	39	114	39	115	PF10102.13	DUF2341	Family	1	83	84	37.7	2.60E-09	1	No_Clan
IMGVR_UViG_3300027566_000007.3300027566.Ga0209639_1000314_31	228	393	226	418	PF08480.14	Disaggr_assoc	Repeat	3	170	194	77.3	1.60E-21	1	CL0268
IMGVR_UViG_3300027566_000007.3300027566.Ga0209639_1000314_103	106	300	95	300	PF13229.10	Beta_helix	Repeat	11	158	158	32.4	7.40E-08	1	CL0268
IMGVR_UViG_3300027566_000007.3300027566.Ga0209639_1000314_119	10	45	9	45	PF18454.5	Mtd_N	Domain	4	37	37	39	6.30E-10	1	CL0737
IMGVR_UViG_3300027566_000007.3300027566.Ga0209639_1000314_119	512	642	486	679	PF13229.10	Beta_helix	Repeat	3	143	158	39.2	5.90E-10	1	CL0268
IMGVR_UViG_3300028048_000213.3300028048.Ga0256405_10002290_29	44	323	32	324	PF05065.17	Phage_capsid	Family	10	279	280	35.6	7.20E-09	1	CL0373
IMGVR_UViG_3300028048_000213.3300028048.Ga0256405_10002290_34	6	242	2	265	PF18906.4	Phage_tube_2	Family	7	222	269	30.7	2.50E-07	1	No_Clan
IMGVR_UViG_3300028048_000213.3300028048.Ga0256405_10002290_36	185	362	161	365	PF10145.13	PhageMin_Tail	Family	13	198	201	37.8	1.90E-09	1	No_Clan
IMGVR_UViG_3300028048_000213.3300028048.Ga0256405_10002290_61	78	188	77	232	PF02384.20	N6_Mtase	Family	4	121	311	50.9	1.50E-13	1	CL0063
IMGVR_UViG_3300028591_000222.3300028591.Ga0247611_10000764_36	54	138	51	163	PF00692.23	dUTPase	Domain	23	106	129	47.7	1.30E-12	1	CL0153
IMGVR_UViG_3300028591_000222.3300028591.Ga0247611_10000764_45	25	108	5	115	PF00705.22	PCNA_N	Domain	26	111	127	28.9	8.70E-07	1	CL0060
IMGVR_UViG_3300028591_000222.3300028591.Ga0247611_10000764_80	20	214	17	214	PF04466.17	Terminase_3	Domain	4	201	201	104.5	6.20E-30	1	CL0023
IMGVR_UViG_3300028591_000222.3300028591.Ga0247611_10000764_80	258	384	244	385	PF17288.6	Terminase_3C	Domain	16	153	155	40.8	3.20E-10	1	CL0219
IMGVR_UViG_3300028591_000222.3300028591.Ga0247611_10000764_98	40	123	39	126	PF16640.9	Big_3_5	Domain	2	85	90	47.2	2.20E-12	1	CL0159
IMGVR_UViG_3300028591_000222.3300028591.Ga0247611_10000764_102	96	179	85	187	PF13306.10	LRR_5	Repeat	16	97	127	27.6	2.60E-06	1	CL0022
IMGVR_UViG_3300028601_000199.3300028601.Ga0265295_1006704_20	13	160	11	163	PF10124.13	Mu-like_gpT	Family	4	149	289	118.4	4.30E-34	1	CL0373
IMGVR_UViG_3300028601_000199.3300028601.Ga0265295_1006704_20	162	241	152	242	PF10124.13	Mu-like_gpT	Family	218	288	289	35.8	6.10E-09	1	CL0373
IMGVR_UViG_3300028601_000199.3300028601.Ga0265295_1006704_20	245	306	242	308	PF10124.13	Mu-like_gpT	Family	153	215	289	46	4.70E-12	1	CL0373
IMGVR_UViG_3300028601_000199.3300028601.Ga0265295_1006704_25	10	126	10	127	PF12691.11	Minor_capsid_3	Family	1	114	117	56.1	4.20E-15	1	CL0691
IMGVR_UViG_3300028601_000032.3300028601.Ga0265295_1000600_3	446	571	418	573	PF13229.10	Beta_helix	Repeat	45	156	158	26.2	5.70E-06	1	CL0268
IMGVR_UViG_3300028601_000032.3300028601.Ga0265295_1000600_3	670	801	654	807	PF13229.10	Beta_helix	Repeat	10	126	158	34.1	2.20E-08	1	CL0268
IMGVR_UViG_3300028601_000032.3300028601.Ga0265295_1000600_33	197	350	195	355	PF13229.10	Beta_helix	Repeat	3	144	158	26.5	4.90E-06	1	CL0268
IMGVR_UViG_3300028601_000032.3300028601.Ga0265295_1000600_33	653	815	650	835	PF08480.14	Disaggr_assoc	Repeat	4	164	194	109.8	1.80E-31	1	CL0268
IMGVR_UViG_3300028601_000032.3300028601.Ga0265295_1000600_65	35	70	23	81	PF01316.25	Arg_repressor	Domain	14	51	70	27.4	2.30E-06	1	CL0123
IMGVR_UViG_3300028601_000032.3300028601.Ga0265295_1000600_66	1	129	1	130	PF08004.15	DUF1699	Family	1	129	130	157.1	2.00E-46	1	No_Clan
IMGVR_UViG_3300028601_000032.3300028601.Ga0265295_1000600_73	3	181	3	182	PF06848.15	Disaggr_repeat	Repeat	1	178	179	249.7	1.60E-74	1	No_Clan
IMGVR_UViG_3300028601_000032.3300028601.Ga0265295_1000600_78	265	409	264	414	PF08480.14	Disaggr_assoc	Repeat	2	151	194	65.1	9.10E-18	1	CL0268
IMGVR_UViG_3300028601_000032.3300028601.Ga0265295_1000600_79	64	251	61	253	PF20155.3	TMP_3	Family	4	190	192	43.9	2.50E-11	1	No_Clan
IMGVR_UViG_3300028601_000032.3300028601.Ga0265295_1000600_82	38	137	34	140	PF16461.9	Phage_TTP_12	Family	30	131	134	44.8	1.10E-11	1	CL0504
IMGVR_UViG_3300028601_000032.3300028601.Ga0265295_1000600_82	147	240	146	241	PF12733.11	Cadherin-like	Domain	2	88	89	26.7	6.70E-06	1	CL0159
IMGVR_UViG_3300028601_000032.3300028601.Ga0265295_1000600_83	10	128	10	129	PF12691.11	Minor_capsid_3	Family	1	115	117	33.4	4.70E-08	1	CL0691
IMGVR_UViG_3300028601_000032.3300028601.Ga0265295_1000600_90	616	696	614	696	PF18911.4	PKD_4	Domain	3	85	85	48.3	8.70E-13	1	CL0159
IMGVR_UViG_3300028602_001425.3300028602.Ga0265294_10002456_9	13	124	13	125	PF12691.11	Minor_capsid_3	Family	1	115	117	45.7	7.10E-12	1	CL0691
